a	art.一(个) 每
abandon	vt. 丢弃 放弃 抛弃 n. 放纵
ability	n. 能力 能耐 本领
able	adj. 能干的 有能力的 出色的
abnormal	adj. 反常的 不正常的 不规则的 变态的 n. 不正常的人
aboard	adv. 在船(车)上 在火车上 在飞机上 prep. 上船 上飞机 上车
about	prep. 关于 在...周围 adj. 准备 adv. 大约
above	prep. 在...上面 超过 高于 adj. 上面的 adv. 在上面 超过 n. 上面的东西
abroad	adv. (在)国外 海外(一般作表语) 到处 到国外 广为流传
absence	n. 缺席 不在场 缺乏
absent	adj. 缺席的 不在场的 缺乏的 vt. 使缺席 prep. 没有
absolute	adj. 绝对的 纯粹的 完全的 无限制的 独立的 专制的 n. 绝对的事物
absolutely	adv. 独立地 完全地 绝对地
absorb	vt. 吸收 吸纳 吸引...的注意 吞并 使专心
abstract	adj. 抽象的 理论的 n. 摘要 抽象的东西 vt. 移除 摘要 偷vi. 做摘要
abundant	adj.丰富的 充裕的 大量的
abuse	vt. 滥用 辱骂 虐待 n. 滥用 恶习
academic	adj. 学院的 理论的 学术性的 n. 教学人员 学术人员
academy	n. 私立中学 专科院校 学院 学术 学会
accelerate	vt. (使)加快 促进 加速 提前 跳级 vi. 加速
acceleration	n. 加速 促进 加速度
accent	n. 口音 腔调 重音 强调 vt. 重读 强调
accept	vt. 接受 同意 承担(责任等) vi. 接受
acceptable	adj. 可接受的 合意的 受欢迎的
acceptance	n. 接受（礼物、邀请、建议等） 同意 认可 验收 承认
access	n. 进入 接近(的机会) 使用之权 通道 入口 vt. (电脑)存取进入
accessory	n. 同谋 从犯 附件 adj. 附属的(副的、辅助的)
accident	n. 意外的 事故
accidental	a. 意外的 偶然的 附属的 非本质的 n. 偶然 不重要的东西 <音>变调的临时符号
accommodate	vt. 容纳 供应 供给 提供方便 使一致 和解 顾及 vi. 使自己适应
accommodation	n. 招待设备 预定铺位 住处 膳宿 适应 和解
accompany	vt. 陪伴 陪同 伴随 给...伴奏 vi. 伴奏
accomplish	vt. 达到(目的) 完成
accord	vt. 使一致 调解 赠予 给予 n. 一致 调和 协议 自愿 vi. (与)一致
accordance	n. 一致 和谐 授予 符合 同意
accordingly	adv. 因此 所以 于是 相应地 照着
account	n. 记述 解释 根据 理由 帐目 报告 估计 利益 好处 vi. 报账 解释 导致 vt. 把...视为 归咎(于)
accumulate	vt. 积累 累加 堆积 vi. 堆积 累积
accuracy	n. 准确(性) 准确度
accurate	adj. 准确的 正确无误的
accuse	vt. 指责 责备 控告 归咎于
accustom	vt. 使...习惯
accustomed	adj. 惯常的 习惯的
ache	vi. 痛 想念 渴望 n. 疼痛
achieve	vt. 完成 实现 达到 vi. 达到目的
achievement	n. 完成 成就 成绩 达到
acid	n. 酸 酸味物质 adj .酸的 酸性的
acquaintance	n. 认识 了解 熟人
acquire	vt. 占有 取得 获得 学到
acre	n. 英亩(=6.07亩)
across	prep. 横过 穿过 在...对面 adv. 横过 使...被理解(或接受)
act	vi. 行动 表演 表现 充当 见效 vt. 表演 扮演 n. 行为 行动法案 （戏剧、歌剧等的）一幕
action	n. 起诉 行动 作用 功能 情节 活动
active	adj. 活跃的 积极的 主动的
activity	n. 活动 活跃 活力 行动 vt. 表演 adj. 厉害
actor	n. 男演员 演剧的人
actress	n. 女演员
actual	adj. 实际的 真实的 现行的
actually	adv. 实际上 事实上 居然 竟然（表示惊讶）
acute	adj. 尖的 锐的 敏锐的 敏锐的 激烈的
ad	n. (缩)广告 abbr. ( advertisement [əd'və:tismənt] 的缩写 ) 广告
adapt	vt. 使适应 改编 vi. 适应 适合
add	vt. 添加 附加 掺加 增加
addition	n. 加 加法 附加物 增加
additional	adj. 附加的 追加的 另外的
